section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-bold (2),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (11),readonly (12)
Education Law,Lecture,Law,7530,01,3,20117,Wednesday,S,M,T,T,F,W,S,05:30 PM - 08:30 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,05,30,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Interviewing and Counseling,Lecture,Law,7535,01,3,20023,"Tuesday,Thursday",S,M,W,F,S,T,T,09:35 AM - 11:00 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"20 of 20 seats remain.
20 of 20 waitlist seats remain.",20,Law Billing,Cargill Hall Law Door Access,09,35,11,00,20,,,,,,,,,,,,,,,,,,,,,,,,,
Transactional Drafting Seminar,Seminar,Law,7572,01,3,20024,Friday,S,M,T,W,T,F,S,09:35 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"12 of 12 seats remain.
12 of 12 waitlist seats remain.",12,Law Billing,Cargill Hall Law Door Access,09,35,12,35,12,,,,,,,,,,,,,,,,,,,,,,,,,
Transactional Drafting Seminar,Seminar,Law,7572,02,3,20127,Wednesday,S,M,T,T,F,W,S,02:20 PM - 05:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"12 of 12 seats remain.
12 of 12 waitlist seats remain.",12,Law Billing,Cargill Hall Law Door Access,02,20,05,20,12,,,,,,,,,,,,,,,,,,,,,,,,,
Whistleblower Law,Seminar,Law,7622,01,2,20026,Sunday,M,T,W,T,F,S,S,09:30 AM - 11:30 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 06/07/2025,Start Date:,End Date: 06/08/2025,End Date:,Boston,"25 of 25 seats remain.
25 of 25 waitlist seats remain.",25,Law Billing,Cargill Hall Law Door Access,09,30,11,30,25,Sunday,M,T,W,S,T,F,S,09:30 AM - 11:30 AM,09,30,11,30,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 06/21/2025,Start Date:,End Date: 06/22/2025,End Date:,,
Inside Counsel,Lecture,Law,7629,01,2,20061,Tuesday,S,M,W,T,F,T,S,11:10 AM - 01:10 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,24 of 24 seats remain.,24,Law Billing,Cargill Hall Law Door Access,11,10,01,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Seminar in Applied and Critical Legal Design,Seminar,Law,7635,01,4,20062,"Monday,Wednesday",S,T,T,F,S,M,W,02:20 PM - 04:15 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"8 of 8 seats remain.
8 of 8 waitlist seats remain.",8,Law Billing,Cargill Hall Law Door Access,02,20,04,15,8,,,,,,,,,,,,,,,,,,,,,,,,,
Information Security Law,Seminar,Law,7640,01,3,20051,"Monday,Wednesday",S,T,T,F,S,M,W,11:10 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"15 of 15 seats remain.
15 of 15 waitlist seats remain.",15,Law Billing,Cargill Hall Law Door Access,11,10,12,35,15,,,,,,,,,,,,,,,,,,,,,,,,,
Trial Practice,Seminar,Law,7647,01,2,20027,Thursday,S,M,T,W,F,T,S,09:00 AM - 11:00 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 160,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"16 of 16 seats remain.
16 of 16 waitlist seats remain.",16,Law Billing,Cargill Hall Law Door Access,09,00,11,00,16,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Research and Writing 2,Seminar,Law,7656,01,3,20028,"Monday,Wednesday",S,T,T,F,S,M,W,11:10 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"14 of 14 seats remain.
14 of 14 waitlist seats remain.",14,Law Billing,Cargill Hall Law Door Access,11,10,12,35,14,,,,,,,,,,,,,,,,,,,,,,,,,
Data Privacy Compliance in the 21st Century,Lecture,Law,7672,01,3,20083,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,20 of 20 seats remain.,20,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Research Workshop,Seminar,Law,7678,01,1,20029,Wednesday,S,M,T,T,F,W,S,09:35 AM - 10:35 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"20 of 20 seats remain.
20 of 20 waitlist seats remain.",20,Law Billing,,09,35,10,35,20,,,,,,,,,,,,,,,,,,,,,,,,,
Intellectual Property and Social Justice,Seminar,Law,7700,01,3,20118,Tuesday,S,M,W,T,F,T,S,02:50 PM - 05:50 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"15 of 15 seats remain.
15 of 15 waitlist seats remain.",15,Law Billing,,02,50,05,50,15,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Learning Experience for JD/MPH,Individual Instruction,Law,7927,03,3,20052,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Boston,5 of 5 seats remain.,5,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Assistant,Individual Instruction,Law,7938,08,1 TO 3,20067,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Boston,5 of 5 seats remain.,5,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,09,1 TO 3,20073,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Boston,5 of 5 seats remain.,5,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,10,1 TO 3,20074,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Boston,5 of 5 seats remain.,5,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,11,1 TO 3,20097,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",2 of 2 seats remain.,2,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,12,1 TO 3,20100,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",1 of 1 seats remain.,1,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,13,1 TO 3,20106,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",1 of 1 seats remain.,1,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Research Assistant,Individual Instruction,Law,7938,14,1 TO 3,20107,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",1 of 1 seats remain.,1,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Reflections on Lawyering,Lecture,Law,7940,04,1,20072,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,16 of 16 seats remain.,16,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflections on Lawyering,Lecture,Law,7940,05,1,20126,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,16 of 16 seats remain.,16,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Placement Seminar,Seminar,Law,7945,01,2,20086,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,40 of 40 seats remain.,40,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Placement,Off-campus instruction,Law,7946,01,6,20087,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",30 of 30 seats remain.,30,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,01,2 TO 4,20101,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",1 of 1 seats remain.,1,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
