section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-bold (2),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (11),readonly (12)
Directed Study,Individual Instruction,Law,7976,10,1 TO 6,20105,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",1 of 1 seats remain.,1,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Directed Study,Individual Instruction,Law,7976,11,1 TO 6,20109,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,"No campus, no room needed",2 of 2 seats remain.,2,No Course Evaluation,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Hall Law Door Access,
Introduction to Legal Studies 1: Law and Legal Reasoning,Lecture,Legal Studies,6101,01,3,20001,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Legal Studies 2,Lecture,Legal Studies,6102,01,3,20005,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,22 of 22 seats remain.,22,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law of Information and Records,Lecture,Legal Studies,6110,01,3,20008,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Strategy,Lecture,Legal Studies,6120,01,3,20068,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiation and Advocacy,Lecture,Legal Studies,6130,01,3,20053,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Regulation and Compliance,Lecture,Legal Studies,6140,01,3,20069,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Organizational Management,Lecture,Legal Studies,6150,01,3,20002,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,20 of 20 seats remain.,20,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Foundations of Public Policy,Lecture,Legal Studies,6155,01,3,20119,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulation and Global Business Strategies,Lecture,Legal Studies,6160,01,3,20120,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patient Records, Privacy, and Security",Lecture,Legal Studies,6182,01,3,20009,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,22 of 22 seats remain.,22,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidiscrimination Law,Lecture,Legal Studies,6211,01,3,20006,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wages and Benefits,Lecture,Legal Studies,6212,01,3,20004,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifying and Securing Intellectual Property Rights,Lecture,Legal Studies,6231,01,3,20003,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellectual Property and Media,Lecture,Legal Studies,6232,01,3,20007,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,23 of 23 seats remain.,23,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
